25
6, 2, 4, 1
8, 3, 3, 0
10, 2, 4, 2
7, 1, 2, 4
12, 3, 1, 5
9, 2, 4, 1
15, 4, 3, 2
11, 2, 2, 3
14, 3, 4, 5
10, 2, 1, 4
8, 1, 4, 2
13, 3, 3, 6
16, 4, 2, 5
9, 2, 4, 1
12, 2, 1, 3
15, 3, 4, 4
18, 4, 3, 5
20, 5, 2, 8
7, 1, 4, 2
10, 2, 3, 3
14, 3, 1, 4
11, 2, 4, 5
9, 2, 2, 1
12, 3, 4, 2
16, 4, 3, 5

# Fuerza al máximo la complejidad O(n!) del 
# algoritmo de Fuerza Bruta. Tiene tiempos de supervivencia (ts) 
# muy cortos y altas prioridades (p), lo que asegura que el algoritmo voraz deba tomar decisiones 
# difíciles con altas penalizaciones.
