26
60, 6, 4, 20
58, 6, 4, 19
55, 5, 4, 18
54, 5, 4, 17
52, 4, 4, 16
50, 4, 4, 15
48, 4, 4, 14
46, 3, 4, 13
45, 3, 4, 12
44, 3, 4, 11
10, 9, 3, 1
11, 9, 3, 2
12, 10, 3, 3
13, 10, 3, 4
14, 11, 3, 4
15, 12, 3, 5
16, 13, 3, 6
17, 14, 3, 7
28, 4, 2, 9
27, 4, 2, 8
26, 4, 2, 7
25, 4, 2, 6
22, 3, 1, 5
21, 3, 1, 4
20, 3, 1, 3
19, 3, 1, 2

# Caso: el voraz por buckets procesa todo p=4 antes de p=3 aun si p=3 tiene slack minimo.
# Se espera mayor costo para buckets frente a la dinamica al atrasar tablones p=3 con tr largo.
