30
24, 4, 3, 6
22, 3, 2, 5
26, 5, 4, 7
28, 6, 4, 8
30, 3, 2, 9
32, 4, 3, 10
34, 5, 1, 11
36, 6, 2, 12
38, 2, 4, 13
40, 3, 1, 14
42, 4, 2, 15
44, 5, 3, 16
46, 6, 4, 17
48, 2, 1, 18
50, 3, 2, 19
52, 4, 3, 20
54, 5, 4, 21
56, 6, 1, 22
58, 2, 2, 23
60, 3, 3, 24
18, 2, 4, 4
17, 2, 3, 3
16, 2, 2, 2
15, 2, 1, 1
14, 3, 4, 2
13, 3, 3, 2
12, 3, 2, 2
11, 3, 1, 2
25, 4, 2, 6
27, 4, 3, 7

# Caso: instancia grande (30 tablones) para comparar escalabilidad.
# Fuerza bruta es inviable; dinamica debe resolver y el voraz sirve como aproximacion.
